left_knee_angle,right_knee_angle,left_hip_angle,right_hip_angle,trunk_lean_angle,left_knee_valgus,right_knee_valgus,knee_symmetry_ratio,hip_symmetry_ratio,knee_depth_score,_video,_frame_idx
54.947660562973795,48.95339382943119,66.51536326462991,63.77157627123558,17.413982391357422,-39.5327229421622,-43.93948035524441,0.1153841367365522,0.04211914107690002,41.04660617056881,squat_10.mp4,51
45.075482538639385,43.540664528618926,59.19083421860454,58.61349107812983,16.324478149414062,-45.461534796830186,-46.259280863103186,0.03463969176758622,0.009801730777209661,46.459335471381074,squat_10.mp4,54
40.00582310051637,42.33846778594084,51.364310556453404,53.47539952722276,16.85034942626953,-48.240186349271404,-45.959210898712655,0.056655893452064655,0.04027269760827126,49.99417689948363,squat_10.mp4,57
47.08366720096078,45.019779907645116,55.59913681702116,56.868728725961184,17.500473022460938,-42.0356287681802,-44.6585502464138,0.04481672202522422,0.02257697170317181,44.980220092354884,squat_10.mp4,60
37.04874309972831,39.604222202156116,47.62626159683433,53.24054188506992,16.510080337524414,-50.498903373496745,-48.63272406431053,0.06667658824061122,0.11132067428393934,52.95125690027169,squat_10.mp4,63
39.42103837707123,43.07260936985266,48.237321486094224,53.51657702299484,17.344026565551758,-48.673833451944844,-45.33158202598701,0.08852974968409234,0.10376517488278938,50.57896162292877,squat_10.mp4,66
42.179592103767554,41.21624329859199,49.08681935899293,50.98031091111203,17.555049896240234,-45.58498899629536,-46.26008627613258,0.023103043468002887,0.037844425977003854,48.78375670140801,squat_10.mp4,69
39.229941750184295,42.698665007556706,49.454696819747255,53.3442646278588,17.29291534423828,-48.959266020044765,-45.84610781962827,0.08467673001273561,0.07567328995038447,50.770058249815705,squat_10.mp4,72
36.92196792679476,39.70874867947255,49.96630444317428,53.10236077163626,16.1885986328125,-50.73272457377244,-47.0957844272719,0.07273273371555222,0.06085372934491722,53.07803207320524,squat_10.mp4,75
62.89190252141855,61.157194504815514,77.0406491784043,76.67398963560204,16.50582504272461,-36.36086015606316,-37.4589275960872,0.02796808776828385,0.0047706522375648135,28.842805495184486,squat_10.mp4,78
82.75843645067376,59.8412135441322,95.96299025083128,85.51829857719405,16.480077743530273,-28.3895409878521,-39.859727584902885,0.32142046502044413,0.11510488757366936,30.158786455867798,squat_10.mp4,81
107.24110128488786,102.91571231168722,119.86987178265659,117.75571952862794,13.869508743286133,-19.915357348300816,-21.427739653914347,0.04116344266147682,0.017793977848616128,12.915712311687216,squat_10.mp4,84
127.23403753265276,125.23358981461307,138.91368145537513,139.06885013051564,9.757951736450195,-13.883920315210888,-14.487562034436571,0.015847162181217837,0.0011163915534927907,35.23358981461307,squat_10.mp4,87
153.0426838204993,154.17665438917555,156.87479659187187,158.50271631253625,7.524145603179932,-6.799542764622026,-6.524512171327769,0.007382156183816366,0.010323625839219598,63.04268382049929,squat_10.mp4,90
167.08507686787837,166.86023285526093,167.0938045281946,169.65135552702853,5.16285514831543,-3.238109697392891,-3.2942861139493926,0.0013465918284874124,0.015189830781321504,76.86023285526093,squat_10.mp4,93
